pitch,roll,forceLeft,forceRight
-0.5987548828125,-0.15380859375,28.1,21.1
2.6861572265625,-0.4449462890625,27.6,21.3
1.527099609375,-0.4779052734375,27.6,21.6
1.3238525390625,-0.439453125,27.4,21.6
1.0986328125,-0.428466796875,27.2,21.8
1.1370849609375,-0.384521484375,27.2,21.8
0.560302734375,-0.41748046875,27.2,22
0.230712890625,-0.494384765625,27.2,21.8
0.4010009765625,-0.4833984375,27,21.8
0.3680419921875,-0.4888916015625,27,21.8
0.300873763336108,-0.526133391816737,26.8668280871671,21.7152542372881
0.233705534484715,-0.563375182070975,26.7336561743341,21.6305084745763
0.166537305633323,-0.600616972325212,26.6004842615012,21.5457627118644
0.099369076781931,-0.637858762579449,26.4673123486683,21.4610169491525
0.0322008479305387,-0.675100552833686,26.3341404358354,21.3762711864407
-0.0349673809208536,-0.712342343087924,26.2009685230024,21.2915254237288
-0.102135609772246,-0.749584133342161,26.0677966101695,21.2067796610169
-0.186767578125,-0.1812744140625,28.1,21.1
-0.19775390625,-0.2032470703125,27.6,21.3
-0.538330078125,-0.1922607421875,27.6,21.6
-0.7415771484375,-0.24169921875,27.4,21.6
-0.736083984375,-0.2197265625,27.2,21.8
-0.8074951171875,-0.2471923828125,27.2,21.8
-0.9283447265625,-0.3021240234375,27.2,22
-0.9063720703125,-0.340576171875,27.2,21.8
-0.9832763671875,-0.2581787109375,27,21.8
-1.42822265625,-0.1922607421875,27,21.8
