pitch,roll,forceLeft,forceRight
0.8843994140625,0.4119873046875,0,-0.2
-0.2142333984375,0.450439453125,0,-0.2
-0.604248046875,0.5218505859375,0,-0.2
-0.63720703125,0.54931640625,0,-0.2
-0.4888916015625,0.5657958984375,0,-0.2
-0.3076171875,0.5328369140625,0,-0.2
-0.186767578125,0.5108642578125,0,0
-0.0823974609375,0.3900146484375,0.21,0
0.1263427734375,0.318603515625,0,-0.2
0.2801513671875,0.2801513671875,0,0
0.472412109375,0.1373291015625,0,-0.2
0.5218505859375,0.06591796875,0.01,0
0.6097412109375,-0.0823974609375,0,0
0.7855224609375,-0.1812744140625,0,-0.2
1.0107421875,-0.208740234375,0,-0.2
1.0491943359375,-0.19775390625,0,-0.2
1.0546875,-0.142822265625,0.01,0
0.41748046875,-0.186767578125,0.01,0
-0.648193359375,-0.274658203125,0,0
