pitch,roll,forceLeft,forceRight
7.1136474609375,3.372802734375,45.4,18.9
6.74560546875,3.4442138671875,45.2,19.3
6.251220703125,3.6309814453125,44.9,19.3
5.9161376953125,3.80126953125,45.2,19.3
5.6689453125,3.93310546875,44.9,19.5
5.3448486328125,4.0374755859375,44.9,19.5
5.11962890625,4.1693115234375,45.2,19.5
4.8834228515625,4.2132568359375,45.2,19.5
4.5703125,4.3231201171875,45.2,19.5
4.2791748046875,4.405517578125,45.2,19.5
4.0374755859375,4.537353515625,45.2,19.8
3.7738037109375,4.63623046875,45.2,19.8
3.504638671875,4.6966552734375,45.2,19.8
3.14208984375,4.74609375,45.2,19.5
2.74658203125,4.801025390625,45.2,19.5
2.3291015625,4.8175048828125,44.9,19.5
2.0159912109375,4.7900390625,44.9,19.8
1.7193603515625,4.801025390625,45.2,19.8
1.3128662109375,4.7735595703125,44.9,19.5
0.81298828125,4.8065185546875,44.9,19.5
0.1812744140625,4.691162109375,44.9,19.5
-0.582275390625,4.6087646484375,44.9,19.5
-1.6424560546875,4.4879150390625,44.7,19.5
-2.7740478515625,4.2681884765625,44.7,19.5
-4.0924072265625,4.031982421875,44.7,19.5
-5.152587890625,3.69140625,44.7,19.5
-5.6085205078125,3.548583984375,44.5,19.5
-8.4429931640625,2.7740478515625,44.5,19.5
