pitch,roll,forceLeft,forceRight
10.0689697265625,0.582275390625,42.3,42.7
10.0689697265625,0.582275390625,42.3,42.5
9.0472412109375,0.6756591796875,42.3,42.5
8.02001953125,0.7965087890625,42.3,42.5
7.415771484375,0.87890625,42.3,42.5
6.3995361328125,0.9283447265625,42,42.7
5.460205078125,0.845947265625,42.3,42.7
5.0482177734375,0.87890625,42,42.7
4.6142578125,0.8624267578125,42,42.7
4.2901611328125,0.8734130859375,42,42.7
3.7738037109375,0.9173583984375,42.3,42.5
1.4996337890625,22.073974609375,42.3,42.6
1.4996337890625,22.073974609375,42.3,42.6
1.4996337890625,22.073974609375,42.3,42.6
1.4996337890625,22.073974609375,42.3,42.6
1.4996337890625,22.073974609375,42.3,42.6
1.4996337890625,22.073974609375,42.3,42.6
-0.7745361328125,1.64794921875,42.3,42.7
-0.7745361328125,1.64794921875,42.3,42.5
-1.2579345703125,1.5216064453125,42.3,42.5
-1.724853515625,1.5216064453125,42.3,42.5
-2.318115234375,1.4337158203125,42.3,42.5
-2.92236328125,1.3787841796875,42,42.7
-3.3673095703125,0.8514404296875,42.3,42.7
-4.3231201171875,-0.1043701171875,42,42.7
-5.5645751953125,-1.373291015625,42,42.7
-6.6961669921875,-2.977294921875,42,42.7
-7.8826904296875,-4.76806640625,42.3,42.5
