Format Version,1.23,Take Name,Take 2023-06-26 02.51.41 PM,Take Notes,,Capture Frame Rate,500.000000,Export Frame Rate,500.000000,Capture Start Time,2023-06-26 02.51.41.822 PM,Capture Start Frame,1562457,Total Frames in Take,4599,Total Exported Frames,4599,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1557,Unlabeled 1557,Unlabeled 1557,Unlabeled 1558,Unlabeled 1558,Unlabeled 1558,Unlabeled 1559,Unlabeled 1559,Unlabeled 1559
,ID,"64A549E3878145B11EE","64A549E3878145B11EE","64A549E3878145B11EE","64B549E3878145B11EE","64B549E3878145B11EE","64B549E3878145B11EE","64C549E3878145B11EE","64C549E3878145B11EE","64C549E3878145B11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
43,0.086000,28.113382,-101.131760,157.581039,24.133951,267.081604,280.997345,35.105076,10.323225,286.851929
44,0.088000,28.116949,-101.136490,157.581650,24.130341,267.083649,280.994415,35.102009,10.321516,286.845673
45,0.090000,28.114105,-101.132500,157.580154,24.131844,267.079590,280.997559,35.106586,10.322747,286.852966
46,0.092000,28.111593,-101.130302,157.581207,24.131258,267.083832,280.995026,35.102081,10.318389,286.847839
47,0.094000,28.115025,-101.134720,157.579483,24.127678,267.084991,280.996338,35.105103,10.319401,286.846375
48,0.096000,28.111416,-101.132851,157.582153,24.131100,267.082458,280.995667,35.100098,10.319703,286.847565
49,0.098000,28.112999,-101.129730,157.578720,24.134621,267.082947,280.998474,35.101768,10.319189,286.856964
50,0.100000,28.117037,-101.132416,157.579590,24.131744,267.085754,281.000549,35.100895,10.319133,286.853210
51,0.102000,28.113579,-101.135262,157.580231,24.134338,267.082397,280.998474,35.106682,10.321820,286.852142
52,0.104000,28.112429,-101.136513,157.582794,24.131569,267.082275,280.997894,35.102417,10.320646,286.858185
53,0.106000,28.113869,-101.132828,157.577377,24.135412,267.084595,280.993896,35.105904,10.319385,286.852814
54,0.108000,28.117451,-101.130569,157.581055,24.133522,267.085938,281.000214,35.106411,10.319890,286.853485
55,0.110000,28.117643,-101.131851,157.581223,24.131580,267.082245,280.996521,35.104755,10.324223,286.852417
56,0.112000,28.118999,-101.132805,157.581360,24.136507,267.082977,280.998688,35.104496,10.318165,286.852509
57,0.114000,28.117369,-101.132233,157.583817,24.133831,267.082397,280.993103,35.106586,10.320405,286.847076
58,0.116000,28.116262,-101.134560,157.579727,24.132513,267.085205,280.995941,35.106110,10.323625,286.850647
59,0.118000,28.116339,-101.135376,157.578629,24.133045,267.085144,280.993591,35.102325,10.318588,286.845520
60,0.120000,28.111053,-101.132965,157.579041,24.133472,267.083618,280.994080,35.101292,10.323135,286.849182
61,0.122000,28.116344,-101.132874,157.582840,24.133896,267.081635,280.994476,35.106453,10.321590,286.849457
62,0.124000,28.113649,-101.134224,157.584747,24.129301,267.085724,280.996124,35.100594,10.321695,286.846344
63,0.126000,28.111557,-101.135033,157.580536,24.132519,267.081451,280.995819,35.100155,10.321991,286.851074
64,0.128000,28.114105,-101.133514,157.582184,24.130955,267.082001,280.997955,35.104435,10.318556,286.849274
65,0.130000,28.115116,-101.134933,157.580521,24.131273,267.083160,281.000275,35.103436,10.315311,286.851166
66,0.132000,28.113609,-101.134087,157.583725,24.133360,267.082367,280.997742,35.106697,10.318740,286.851410
67,0.134000,28.113075,-101.133858,157.578629,24.133211,267.082886,280.996002,35.110786,10.317679,286.851532
68,0.136000,28.116207,-101.133820,157.579544,24.133337,267.082520,280.998749,35.102535,10.315069,286.854187
69,0.138000,28.119324,-101.134407,157.582092,24.131023,267.083557,280.997070,35.101925,10.319103,286.851562
70,0.140000,28.121401,-101.133461,157.576065,24.133913,267.081146,280.995087,35.102051,10.319771,286.852478
71,0.142000,28.118027,-101.132912,157.579224,24.134117,267.080780,280.996094,35.104542,10.317663,286.845734
