Format Version,1.23,Take Name,Take 2023-06-26 02.54.44 PM,Take Notes,,Capture Frame Rate,500.000000,Export Frame Rate,500.000000,Capture Start Time,2023-06-26 02.54.44.670 PM,Capture Start Frame,1653881,Total Frames in Take,9033,Total Exported Frames,9033,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1585,Unlabeled 1585,Unlabeled 1585,Unlabeled 1586,Unlabeled 1586,Unlabeled 1586,Unlabeled 1587,Unlabeled 1587,Unlabeled 1587
,ID,"65F549E3878145B11EE","65F549E3878145B11EE","65F549E3878145B11EE","660549E3878145B11EE","660549E3878145B11EE","660549E3878145B11EE","661549E3878145B11EE","661549E3878145B11EE","661549E3878145B11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,28.239815,-101.124176,157.485916,23.772964,266.867706,281.191284,35.229424,10.167748,286.877899
1,0.002000,28.240747,-101.121811,157.481354,23.773262,266.869598,281.192902,35.228691,10.172344,286.874908
2,0.004000,28.240875,-101.123230,157.481339,23.776001,266.864410,281.188232,35.226902,10.173162,286.878571
3,0.006000,28.234810,-101.121048,157.484009,23.773537,266.866150,281.191254,35.228607,10.168931,286.877472
4,0.008000,28.236485,-101.120232,157.482254,23.772207,266.864014,281.189484,35.226376,10.171849,286.871552
5,0.010000,28.231726,-101.121063,157.480881,23.769032,266.868073,281.189026,35.225380,10.173626,286.878143
6,0.012000,28.237228,-101.119133,157.486435,23.773985,266.868530,281.188690,35.223930,10.175853,286.875824
7,0.014000,28.237122,-101.121742,157.478546,23.775526,266.867920,281.192413,35.221947,10.174856,286.876923
8,0.016000,28.239388,-101.122963,157.481934,23.772924,266.865540,281.190491,35.227627,10.174077,286.875824
9,0.018000,28.238281,-101.120560,157.482849,23.772097,266.868988,281.188660,35.224991,10.173171,286.879608
10,0.020000,28.235840,-101.124718,157.485184,23.770761,266.868896,281.190399,35.225670,10.167699,286.878998
11,0.022000,28.239845,-101.125732,157.488770,23.771229,266.867645,281.189606,35.226906,10.173168,286.879852
12,0.024000,28.238789,-101.122467,157.482910,23.774080,266.867096,281.188293,35.226868,10.170633,286.874359
13,0.026000,28.241819,-101.124458,157.482391,23.773878,266.866364,281.193848,35.227531,10.171280,286.874329
14,0.028000,28.238518,-101.119560,157.481216,23.773754,266.868469,281.189392,35.230968,10.172956,286.873505
15,0.030000,28.238213,-101.123291,157.484604,23.772535,266.866364,281.184692,35.229809,10.169391,286.874542
16,0.032000,28.242435,-101.120430,157.485504,23.772627,266.867523,281.192566,35.227642,10.168819,286.872192
17,0.034000,28.242914,-101.120552,157.483398,23.769325,266.865662,281.189453,35.229183,10.166624,286.876343
18,0.036000,28.235495,-101.126404,157.483734,23.774504,266.865326,281.190857,35.226402,10.170570,286.879089
19,0.038000,28.237574,-101.121628,157.483826,23.773903,266.866364,281.188171,35.228249,10.174640,286.883392
20,0.040000,28.238520,-101.123802,157.483994,23.772707,266.866089,281.190613,35.225273,10.169539,286.874847
21,0.042000,28.238605,-101.124977,157.479614,23.773993,266.868042,281.194519,35.221725,10.177753,286.876831
22,0.044000,28.235970,-101.121895,157.481934,23.771389,266.866364,281.193024,35.223347,10.170764,286.876740
23,0.046000,28.234438,-101.118759,157.484283,23.771994,266.867462,281.189056,35.224773,10.170984,286.873505
24,0.048000,28.233824,-101.126236,157.483353,23.771002,266.866638,281.189453,35.223614,10.166572,286.876099
25,0.050000,28.236858,-101.120369,157.483353,23.772524,266.865509,281.188721,35.227886,10.169926,286.878967
26,0.052000,28.235952,-101.124588,157.483322,23.776672,266.867828,281.193695,35.228924,10.171080,286.875916
27,0.054000,28.239277,-101.121101,157.484558,23.772730,266.864594,281.190460,35.223812,10.168304,286.876678
28,0.056000,28.234814,-101.123589,157.483688,23.774908,266.868500,281.188324,35.224522,10.168549,286.876526
29,0.058000,28.243221,-101.122559,157.482468,23.772078,266.867950,281.190552,35.227680,10.171762,286.873230
30,0.060000,28.241459,-101.119919,157.481857,23.774935,266.866699,281.190369,35.226833,10.168921,286.873505
31,0.062000,28.236586,-101.119598,157.479568,23.771063,266.866455,281.189423,35.227486,10.170837,286.875122
32,0.064000,28.236574,-101.125519,157.481262,23.772924,266.867798,281.192505,35.225735,10.168331,286.877991
33,0.066000,28.238754,-101.122795,157.484863,23.772947,266.868805,281.188965,35.227467,10.168489,286.878845
34,0.068000,28.241285,-101.120934,157.484985,23.772829,266.866913,281.190521,35.230846,10.172859,286.870361
35,0.070000,28.239941,-101.123039,157.482330,23.773632,266.869049,281.192474,35.226963,10.172160,286.873169
36,0.072000,28.237194,-101.123497,157.480133,23.772848,266.867249,281.190033,35.228519,10.167180,286.870972
37,0.074000,28.237461,-101.126297,157.480988,23.770874,266.866058,281.189850,35.228249,10.170189,286.872162
38,0.076000,28.236345,-101.122841,157.483643,23.774719,266.870972,281.193207,35.226063,10.171242,286.876526
39,0.078000,28.235682,-101.127472,157.482010,23.771889,266.867340,281.194366,35.226822,10.168509,286.872284
40,0.080000,28.239143,-101.123634,157.480164,23.770678,266.863800,281.187866,35.227524,10.170381,286.876282
41,0.082000,28.238207,-101.122154,157.483658,23.770506,266.868011,281.187714,35.225536,10.167616,286.877686
42,0.084000,28.237047,-101.124191,157.482025,23.772318,266.864441,281.192413,35.226074,10.170212,286.877228
43,0.086000,28.234505,-101.122078,157.484894,23.773342,266.865479,281.189850,35.222660,10.171422,286.875061
44,0.088000,28.235704,-101.119003,157.486496,23.771795,266.869446,281.190460,35.221817,10.175485,286.869019
45,0.090000,28.238192,-101.121338,157.484650,23.772644,266.869232,281.191162,35.230091,10.171894,286.873566
46,0.092000,28.239315,-101.122963,157.484146,23.770016,266.865875,281.189728,35.226894,10.176446,286.871552
47,0.094000,28.245066,-101.124954,157.484802,23.774118,266.869415,281.189667,35.229839,10.168097,286.871399
48,0.096000,28.242565,-101.122101,157.482224,23.772217,266.865814,281.189667,35.228977,10.171517,286.874512
49,0.098000,28.243647,-101.123833,157.483749,23.773752,266.866638,281.188385,35.232033,10.169668,286.874359
50,0.100000,28.243986,-101.121323,157.480591,23.775497,266.866821,281.192688,35.230606,10.171316,286.877045
51,0.102000,28.243252,-101.124336,157.485046,23.773184,266.869263,281.191345,35.233894,10.169388,286.875763
52,0.104000,28.240562,-101.120972,157.483780,23.772465,266.870636,281.190308,35.226742,10.174613,286.870911
53,0.106000,28.238173,-101.123528,157.484894,23.771515,266.866211,281.186859,35.226704,10.169753,286.873749
54,0.108000,28.241518,-101.124084,157.483780,23.771927,266.871033,281.193787,35.227436,10.174777,286.870972
55,0.110000,28.235685,-101.122833,157.485199,23.773010,266.869934,281.187073,35.227871,10.176052,286.875854
56,0.112000,28.241184,-101.122627,157.482544,23.773516,266.868591,281.187286,35.225758,10.174862,286.873352
57,0.114000,28.238104,-101.121574,157.485962,23.771961,266.866882,281.190277,35.226543,10.173224,286.878174
58,0.116000,28.239435,-101.122169,157.482574,23.770998,266.868347,281.192474,35.227104,10.168912,286.875977
59,0.118000,28.237614,-101.123238,157.481552,23.772972,266.867493,281.187469,35.225811,10.168571,286.877563
60,0.120000,28.238901,-101.120605,157.486526,23.773781,266.866638,281.190826,35.222977,10.170897,286.875549
61,0.122000,28.237427,-101.123108,157.480347,23.770449,266.867249,281.190308,35.222046,10.167683,286.876007
62,0.124000,28.237696,-101.124763,157.485397,23.771650,266.869934,281.193848,35.227901,10.168201,286.873108
63,0.126000,28.238520,-101.121887,157.483093,23.772989,266.866547,281.191284,35.227806,10.175031,286.875732
64,0.128000,28.239023,-101.123032,157.486069,23.773815,266.870331,281.191620,35.222858,10.173620,286.874298
65,0.130000,28.236307,-101.118820,157.480637,23.774210,266.870758,281.193420,35.226662,10.172104,286.873779
66,0.132000,28.240063,-101.122078,157.483429,23.774675,266.869232,281.189545,35.223736,10.182650,286.874664
67,0.134000,28.239536,-101.124634,157.484680,23.772732,266.867035,281.186829,35.230236,10.170810,286.874908
68,0.136000,28.239223,-101.120712,157.485046,23.770531,266.867950,281.195038,35.227112,10.172955,286.871094
69,0.138000,28.238995,-101.122040,157.487656,23.776697,266.868378,281.191589,35.225101,10.173966,286.876190
70,0.140000,28.241713,-101.121361,157.487061,23.775124,266.869171,281.191345,35.228661,10.174588,286.871216
71,0.142000,28.238207,-101.121162,157.483154,23.774292,266.868469,281.191803,35.231117,10.170866,286.874390
72,0.144000,28.238075,-101.124207,157.484924,23.775047,266.868561,281.189819,35.230377,10.171721,286.875946
73,0.146000,28.238346,-101.123245,157.487167,23.773186,266.865326,281.190765,35.227093,10.172850,286.876984
74,0.148000,28.238235,-101.119865,157.484665,23.773529,266.868622,281.187408,35.223755,10.175390,286.872131
75,0.150000,28.236450,-101.122276,157.480515,23.772331,266.869568,281.191193,35.228809,10.172174,286.874664
76,0.152000,28.239378,-101.122337,157.481079,23.774271,266.869965,281.190796,35.226067,10.176581,286.877136
77,0.154000,28.239855,-101.122307,157.491974,23.773457,266.869873,281.191010,35.221897,10.174832,286.874908
78,0.156000,28.236525,-101.122208,157.480347,23.770317,266.866058,281.191376,35.226227,10.171702,286.875854
79,0.158000,28.236584,-101.121742,157.483231,23.769926,266.869415,281.190399,35.225788,10.172583,286.878418
80,0.160000,28.237309,-101.121094,157.484589,23.771315,266.868103,281.194092,35.221657,10.172416,286.880554
81,0.162000,28.240973,-101.123413,157.481583,23.773897,266.870544,281.190216,35.219872,10.169722,286.881714
82,0.164000,28.236061,-101.123634,157.479691,23.773018,266.869141,281.193024,35.226887,10.169716,286.880280
83,0.166000,28.238661,-101.121841,157.484177,23.772411,266.866364,281.191742,35.227192,10.169035,286.876953
84,0.168000,28.237118,-101.121727,157.482788,23.773832,266.866852,281.190308,35.227001,10.169963,286.876892
85,0.170000,28.239346,-101.123268,157.485474,23.771549,266.867096,281.193909,35.224472,10.170235,286.877686
86,0.172000,28.238403,-101.120987,157.480621,23.771749,266.869720,281.188690,35.225090,10.171474,286.872620
87,0.174000,28.239803,-101.125153,157.479858,23.767498,266.866638,281.189301,35.227962,10.172743,286.874115
88,0.176000,28.239559,-101.122711,157.484695,23.773428,266.872406,281.190338,35.229229,10.168949,286.872559
89,0.178000,28.236902,-101.121223,157.481628,23.772308,266.866302,281.188446,35.224087,10.172781,286.878082
90,0.180000,28.241249,-101.119202,157.482986,23.772005,266.865601,281.190399,35.228722,10.166703,286.874603
91,0.182000,28.238655,-101.122818,157.486694,23.774971,266.868561,281.189606,35.226376,10.172745,286.876648
92,0.184000,28.237965,-101.123245,157.483627,23.774048,266.866333,281.191711,35.227726,10.170758,286.874756
93,0.186000,28.238092,-101.123909,157.486832,23.774790,266.866516,281.189209,35.227196,10.170378,286.877075
94,0.188000,28.236191,-101.125366,157.480865,23.771170,266.869141,281.187195,35.223831,10.174811,286.871552
95,0.190000,28.238718,-101.124458,157.482040,23.770103,266.868073,281.188446,35.227592,10.165155,286.877686
96,0.192000,28.232300,-101.122910,157.483109,23.772825,266.868042,281.186157,35.228619,10.171586,286.874207
97,0.194000,28.238680,-101.122520,157.482178,23.773048,266.868591,281.192108,35.228371,10.165162,286.875397
98,0.196000,28.240334,-101.124466,157.483017,23.769854,266.866638,281.189331,35.226398,10.173743,286.872406
99,0.198000,28.242834,-101.120453,157.486374,23.771328,266.868561,281.191559,35.230541,10.172108,286.880554
100,0.200000,28.235579,-101.125656,157.485321,23.771990,266.865112,281.192108,35.225086,10.169046,286.876007
101,0.202000,28.239346,-101.123260,157.483948,23.774343,266.869781,281.188446,35.230995,10.173753,286.870483
102,0.204000,28.241318,-101.122276,157.479828,23.771000,266.870544,281.190948,35.228958,10.172746,286.873535
103,0.206000,28.239656,-101.119987,157.483948,23.773989,266.868652,281.194092,35.232594,10.169502,286.873566
104,0.208000,28.237837,-101.119621,157.482132,23.776592,266.866974,281.192474,35.225594,10.172573,286.870941
105,0.210000,28.243942,-101.123528,157.486008,23.775705,266.869690,281.191284,35.232388,10.173325,286.874542
106,0.212000,28.240126,-101.121765,157.483032,23.772602,266.869476,281.190460,35.224918,10.168116,286.882111
107,0.214000,28.238157,-101.122482,157.485352,23.771812,266.868866,281.187805,35.225803,10.172293,286.876923
108,0.216000,28.240753,-101.120506,157.481415,23.775249,266.869354,281.191162,35.228825,10.169526,286.877563
109,0.218000,28.239567,-101.124550,157.481598,23.774506,266.868896,281.193024,35.233307,10.168061,286.877197
110,0.220000,28.244488,-101.123016,157.484756,23.776190,266.867981,281.189697,35.223686,10.169344,286.881012
111,0.222000,28.240053,-101.121391,157.483734,23.772295,266.869232,281.191681,35.222904,10.175048,286.880707
112,0.224000,28.241274,-101.122528,157.484436,23.774506,266.869171,281.188843,35.223549,10.176665,286.877441
113,0.226000,28.241354,-101.122269,157.482147,23.771929,266.867188,281.192780,35.224575,10.171785,286.877014
114,0.228000,28.235090,-101.121521,157.486664,23.773094,266.867981,281.189972,35.225887,10.172613,286.876404
115,0.230000,28.236870,-101.123650,157.484802,23.772121,266.867767,281.192261,35.227947,10.173869,286.874878
116,0.232000,28.239420,-101.121178,157.481750,23.771801,266.868469,281.188904,35.229321,10.172544,286.876831
117,0.234000,28.236465,-101.121521,157.484192,23.775629,266.867676,281.191864,35.220558,10.170107,286.878296
118,0.236000,28.240168,-101.120224,157.484375,23.772461,266.867828,281.189178,35.222111,10.172616,286.878143
119,0.238000,28.238283,-101.121223,157.481384,23.772959,266.869629,281.192810,35.227768,10.170987,286.877136
120,0.240000,28.239090,-101.123596,157.480988,23.775635,266.868256,281.189941,35.227364,10.170763,286.870789
121,0.242000,28.238676,-101.122505,157.483505,23.774338,266.868561,281.190887,35.223083,10.173368,286.876434
122,0.244000,28.237551,-101.121956,157.485245,23.775429,266.869629,281.192017,35.225250,10.174428,286.876526
123,0.246000,28.241318,-101.120956,157.484573,23.776419,266.868958,281.192963,35.229500,10.172665,286.875244
124,0.248000,28.235767,-101.126724,157.487152,23.772921,266.869598,281.188324,35.227524,10.173466,286.875671
125,0.250000,28.239067,-101.123291,157.481415,23.774334,266.869568,281.190186,35.224182,10.167372,286.877014
126,0.252000,28.241732,-101.121742,157.486847,23.775299,266.870697,281.194092,35.223724,10.179102,286.876343
127,0.254000,28.238495,-101.120239,157.485870,23.775806,266.868286,281.189667,35.229073,10.171515,286.873413
128,0.256000,28.238840,-101.120697,157.484116,23.772682,266.869263,281.191010,35.225830,10.170262,286.878296
129,0.258000,28.239611,-101.124748,157.485336,23.773193,266.869537,281.187958,35.224445,10.174368,286.875427
130,0.260000,28.240927,-101.124153,157.482651,23.772129,266.869934,281.190887,35.227440,10.175278,286.871368
131,0.262000,28.234348,-101.123505,157.482468,23.774900,266.868652,281.189789,35.227905,10.168530,286.871002
132,0.264000,28.237518,-101.123543,157.483536,23.771957,266.867401,281.191864,35.226215,10.172814,286.876434
133,0.266000,28.240137,-101.124146,157.482239,23.773417,266.868011,281.189697,35.221104,10.172372,286.875641
134,0.268000,28.240536,-101.120201,157.479614,23.772633,266.868774,281.189484,35.225311,10.170276,286.875702
135,0.270000,28.238249,-101.120338,157.484894,23.772192,266.867706,281.185730,35.221798,10.169340,286.879639
136,0.272000,28.238497,-101.122673,157.485870,23.772215,266.868622,281.189545,35.225552,10.171539,286.873810
137,0.274000,28.241137,-101.123001,157.480255,23.772783,266.866943,281.191254,35.225876,10.171220,286.876251
138,0.276000,28.243193,-101.124268,157.482880,23.776220,266.871155,281.189606,35.223335,10.169701,286.880615
139,0.278000,28.239737,-101.120354,157.481812,23.775822,266.868805,281.189117,35.226025,10.166018,286.877533
140,0.280000,28.240978,-101.120453,157.481857,23.775255,266.868591,281.192810,35.224251,10.174912,286.873444
141,0.282000,28.239368,-101.123398,157.483566,23.770819,266.867218,281.192169,35.227528,10.171062,286.875031
142,0.284000,28.240721,-101.123116,157.481903,23.773726,266.869812,281.190918,35.223495,10.173895,286.874268
143,0.286000,28.240532,-101.122887,157.483749,23.771313,266.868530,281.189301,35.226894,10.172676,286.876160
144,0.288000,28.238918,-101.122665,157.485260,23.772564,266.869080,281.187836,35.229439,10.168199,286.873199
145,0.290000,28.238083,-101.123154,157.481201,23.774456,266.869812,281.190460,35.233135,10.167928,286.876678
146,0.292000,28.238853,-101.121399,157.481750,23.776308,266.869324,281.186035,35.226662,10.169118,286.879944
147,0.294000,28.238327,-101.123596,157.482132,23.774649,266.868256,281.190277,35.228680,10.172643,286.877380
148,0.296000,28.239138,-101.127411,157.483063,23.776251,266.868347,281.192596,35.225773,10.168144,286.874268
149,0.298000,28.242762,-101.127815,157.479767,23.770403,266.868256,281.188934,35.224762,10.172720,286.873322
150,0.300000,28.234039,-101.125313,157.488235,23.772358,266.868011,281.191223,35.223515,10.170300,286.876129
151,0.302000,28.238873,-101.125526,157.479309,23.772795,266.867432,281.192719,35.226093,10.171802,286.873352
152,0.304000,28.237829,-101.123283,157.482407,23.773104,266.865540,281.188568,35.221024,10.166724,286.877472
153,0.306000,28.239105,-101.123962,157.483307,23.770014,266.866699,281.189026,35.220467,10.169367,286.879791
154,0.308000,28.240055,-101.126747,157.478516,23.771694,266.867767,281.191864,35.220394,10.175426,286.878021
155,0.310000,28.235826,-101.123787,157.483871,23.777857,266.868774,281.190857,35.222672,10.174092,286.876953
156,0.312000,28.239012,-101.122047,157.484756,23.773981,266.866882,281.189880,35.228241,10.169764,286.882233
157,0.314000,28.237621,-101.121658,157.486908,23.772249,266.866852,281.188995,35.225243,10.172746,286.878235
158,0.316000,28.237986,-101.120857,157.483887,23.774645,266.869843,281.188202,35.227879,10.172131,286.877472
159,0.318000,28.241114,-101.122139,157.481888,23.775742,266.870117,281.194733,35.229027,10.169336,286.871948
160,0.320000,28.239218,-101.118263,157.483002,23.773584,266.870209,281.189362,35.228939,10.170650,286.879578
161,0.322000,28.243689,-101.120987,157.482864,23.774672,266.866455,281.190308,35.228943,10.170501,286.874756
162,0.324000,28.241121,-101.121567,157.483017,23.777199,266.871033,281.192230,35.228432,10.170104,286.877747
163,0.326000,28.239916,-101.122810,157.479980,23.775799,266.867615,281.188873,35.229588,10.166947,286.878876
164,0.328000,28.239004,-101.123360,157.482391,23.772173,266.870392,281.187988,35.224224,10.168548,286.874573
165,0.330000,28.241343,-101.122993,157.483643,23.775045,266.867981,281.191071,35.225494,10.167571,286.877625
166,0.332000,28.240135,-101.121956,157.481400,23.771830,266.867859,281.194824,35.224689,10.168641,286.877106
167,0.334000,28.238888,-101.124947,157.485367,23.770308,266.867950,281.190247,35.226166,10.165017,286.879700
168,0.336000,28.235445,-101.126129,157.483734,23.776600,266.867889,281.190308,35.230900,10.168645,286.877991
169,0.338000,28.238033,-101.124603,157.480225,23.773075,266.866302,281.189301,35.224987,10.172774,286.872192
170,0.340000,28.240257,-101.122513,157.478973,23.769203,266.869263,281.189941,35.227257,10.167025,286.880005
171,0.342000,28.241398,-101.125175,157.484390,23.774189,266.864563,281.186279,35.225460,10.169098,286.873322
172,0.344000,28.236580,-101.124176,157.480652,23.774893,266.866760,281.191833,35.231369,10.173314,286.875366
173,0.346000,28.238087,-101.122681,157.480545,23.773636,266.869507,281.188446,35.226212,10.170280,286.875977
174,0.348000,28.239292,-101.122818,157.483521,23.772469,266.869751,281.189240,35.225437,10.172639,286.877411
175,0.350000,28.239260,-101.124359,157.487396,23.772930,266.866913,281.188782,35.220318,10.173960,286.879120
176,0.352000,28.241398,-101.121078,157.480743,23.771772,266.868195,281.188568,35.226391,10.173619,286.871246
177,0.354000,28.241245,-101.118271,157.481201,23.772846,266.866791,281.189270,35.225327,10.167761,286.873810
178,0.356000,28.243538,-101.123337,157.486343,23.774994,266.869415,281.192596,35.221619,10.171970,286.878632
179,0.358000,28.243715,-101.120201,157.484863,23.773584,266.870422,281.191071,35.230488,10.174822,286.872162
180,0.360000,28.240786,-101.121559,157.483582,23.774767,266.868103,281.188660,35.224064,10.170172,286.875854
181,0.362000,28.239658,-101.123970,157.482437,23.775236,266.867065,281.188232,35.230122,10.172075,286.874512
182,0.364000,28.240896,-101.122704,157.485703,23.773829,266.869598,281.188782,35.222706,10.174915,286.875610
183,0.366000,28.240562,-101.121063,157.487045,23.775919,266.871460,281.192627,35.226276,10.171658,286.875458
184,0.368000,28.240612,-101.122826,157.483337,23.776697,266.865662,281.188477,35.226242,10.172199,286.871796
185,0.370000,28.240641,-101.122231,157.484131,23.774448,266.869385,281.187744,35.225956,10.168373,286.882263
186,0.372000,28.239767,-101.121208,157.483749,23.771511,266.868073,281.188690,35.225697,10.170903,286.874695
187,0.374000,28.238291,-101.123589,157.484085,23.769999,266.868378,281.186279,35.227161,10.166492,286.877563
188,0.376000,28.240562,-101.123688,157.483597,23.774088,266.870178,281.186798,35.225090,10.173563,286.874390
189,0.378000,28.239553,-101.123360,157.478851,23.775080,266.868347,281.190125,35.226162,10.168334,286.879028
190,0.380000,28.239552,-101.126999,157.488632,23.774981,266.867340,281.188660,35.223259,10.173090,286.875763
