Format Version,1.23,Take Name,Take 2023-06-26 02.53.05 PM,Take Notes,,Capture Frame Rate,500.000000,Export Frame Rate,500.000000,Capture Start Time,2023-06-26 02.53.05.576 PM,Capture Start Frame,1604334,Total Frames in Take,6959,Total Exported Frames,6959,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1572,Unlabeled 1572,Unlabeled 1572,Unlabeled 1573,Unlabeled 1573,Unlabeled 1573,Unlabeled 1574,Unlabeled 1574,Unlabeled 1574,Unlabeled 1575,Unlabeled 1575,Unlabeled 1575
,ID,"658549E3878145B11EE","658549E3878145B11EE","658549E3878145B11EE","659549E3878145B11EE","659549E3878145B11EE","659549E3878145B11EE","65A549E3878145B11EE","65A549E3878145B11EE","65A549E3878145B11EE","65B549E3878145B11EE","65B549E3878145B11EE","65B549E3878145B11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
37,0.074000,28.116600,-101.124969,157.528549,23.753345,266.894073,281.188354,-1362.125122,224.013855,802.858765,35.082314,10.183453,286.894073
38,0.076000,28.115435,-101.123589,157.525803,23.750462,266.894257,281.189514,-1362.122925,224.012680,802.850098,35.082832,10.183285,286.897827
39,0.078000,28.119150,-101.126373,157.532013,23.751104,266.896027,281.194702,-1362.114746,224.023911,802.833618,35.077126,10.187018,286.893372
40,0.080000,28.119419,-101.126663,157.530304,23.749868,266.897827,281.187958,-1362.128906,224.021179,802.843933,35.078693,10.188373,286.893372
41,0.082000,28.118746,-101.121933,157.526093,23.749550,266.895752,281.191010,-1362.117310,224.011398,802.846802,35.083519,10.189578,286.895844
42,0.084000,28.115007,-101.125069,157.527176,23.749117,266.896027,281.188995,-1362.108032,224.019577,802.845215,35.085087,10.187146,286.889526
43,0.086000,28.117317,-101.124428,157.528854,23.754478,266.900116,281.190216,-1362.106812,224.020294,802.832397,35.082710,10.186099,286.893524
44,0.088000,28.118895,-101.123726,157.529968,23.751009,266.896332,281.191711,-1362.113281,224.020554,802.853455,35.080971,10.187462,286.894684
45,0.090000,28.117851,-101.121140,157.525818,23.750044,266.896820,281.190704,-1362.093140,224.019547,802.839233,35.080914,10.188437,286.896667
46,0.092000,28.120739,-101.124733,157.529449,23.753128,266.897095,281.191986,-1362.108154,224.018906,802.856384,35.086773,10.185438,286.892517
47,0.094000,28.118090,-101.127937,157.530243,23.754213,266.895935,281.189545,-1362.106567,224.015900,802.849792,35.084946,10.187542,286.896362
48,0.096000,28.120382,-101.124664,157.528122,23.754028,266.897675,281.192993,-1362.104004,224.011230,802.847961,35.090340,10.184384,286.893341
49,0.098000,28.122143,-101.127617,157.526581,23.753178,266.897064,281.191864,-1362.105103,224.017227,802.853088,35.084061,10.181186,286.896332
50,0.100000,28.117577,-101.125748,157.527206,23.751890,266.897583,281.187836,-1362.089722,224.015808,802.841309,35.084553,10.184342,286.894470
51,0.102000,28.119198,-101.126045,157.521881,23.754080,266.894440,281.193329,-1362.084961,224.014191,802.833252,35.083405,10.190602,286.893341
52,0.104000,28.120083,-101.126579,157.527023,23.751167,266.894287,281.190857,-1362.093506,224.016479,802.838501,35.078312,10.191153,286.892212
