milimeters,N*(m^2)
0,71.3537049320907
50,89.0318372195022
100,111.85356714105
150,148.813406575523
200,209.355746638212
250,277.171564537087
300,349.345626902304
350,466.079118611625
400,534.444225852054
450,618.041113396756
500,921.574120985516
550,878.265758712562
600,748.433217069463
650,757.425280381187
700,772.793329548342
750,733.812014429683
800,667.055681051957
850,596.593375512629
900,433.25706048157
950,294.42147903785
1000,227.205027413255
1050,199.470985432414
1100,181.648333052765
1150,109.451940115074
