milimeters,N*(m^2)
0,73.56486939
50,89.10001075
100,120.0091315
150,156.095057
200,199.7983311
250,278.0361659
300,348.9638498
350,453.6081988
400,547.3126377
450,577.450056
500,641.7191368
550,576.981397
600,613.3229929
650,731.7200446
700,625.6029649
750,610.9715023
800,471.0276011
850,463.778962
900,426.965152
950,332.7057755
1000,113.0934697
1050,75.43866008
1100,114.9114663
1150,135.4714229
1,125
