milimeters,N*(m^2)
0,47.5814902183103
50,61.448991122533
100,81.2748643711685
150,111.76334703424
200,165.198744161142
250,250.409800021514
300,366.57314383648
350,477.079450170859
400,550.053412052839
450,584.968733323059
500,621.529279155751
550,647.791079683459
600,619.982801725655
650,633.744154104854
700,641.836617647282
750,570.120986459968
800,470.360021295213
850,437.067979189649
900,430.843702572704
950,410.091545927608
1000,289.966656130309
1050,265.057427315335
1100,153.688819980323
1150,83.7207649317412
