milimeters,N*(m^2)
0,81.8228584
50,137.6139971
100,425.3765994
150,116.030826
200,138.7020837
250,828.4225694
300,2001.256533
350,429.9965905
400,232.7101659
450,360.135416
500,1225.927509
550,347.0191871
600,346.0259359
650,1735.027395
700,747.5925199
750,497.762097
800,852.3277039
850,593.1392093
900,461.3304961
950,369.7720947
1000,304.4476155
1050,299.818411
1100,189.1317733
1150,112.9850575
