milimeters,N*(m^2)
0,78.5610534488981
50,101.007068720012
100,125.697685518237
150,162.717758057076
200,218.961815429395
250,267.94367726588
300,359.927879171269
350,448.205786338971
400,544.715745202862
450,649.560429735466
500,707.049481040083
550,655.850187417764
600,565.283579415505
650,599.337328033867
700,614.147216484332
750,563.373837593156
800,523.645270667073
850,498.401099506694
900,457.489263220656
950,350.86210981431
1000,283.369896530453
1050,210.66272005743
1100,141.836550542002
1150,102.108253276165
