milimeters,N*(m^2)
0,76.1449872304266
76,125.057912491701
152,184.031011254704
228,226.457939377177
304,288.087761650853
380,335.395769133424
456,314.7049649585
532,337.25363946778
608,334.120778909136
684,338.107538406982
760,313.681363006449
836,257.710328350411
912,168.646589627249
988,103.380788372349
1064,68.2073137531602
