Format Version,1.23,Take Name,Take 2023-06-29 04.57.16 PM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2023-06-29 04.57.17.369 PM,Capture Start Frame,4840696,Total Frames in Take,22158,Total Exported Frames,22158,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1922,Unlabeled 1922,Unlabeled 1922,Unlabeled 1923,Unlabeled 1923,Unlabeled 1923,Unlabeled 1924,Unlabeled 1924,Unlabeled 1924,Unlabeled 1925,Unlabeled 1925,Unlabeled 1925
,ID,"48572ADDA30E168A11EE","48572ADDA30E168A11EE","48572ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,17.107162,958.867981,306.308258,24.758179,252.268112,407.774994,25.737827,571.013611,392.674561,21.998219,821.120117,379.679047
1,0.005000,17.105881,958.863770,306.309967,24.756514,252.272614,407.773499,25.739672,571.011841,392.676453,21.995493,821.114990,379.676758
2,0.010000,17.108171,958.864563,306.313446,24.762270,252.270691,407.771973,25.740147,571.013184,392.679108,21.992708,821.119934,379.679230
3,0.015000,17.105801,958.871216,306.315002,24.760696,252.267120,407.774597,25.739773,571.011475,392.676270,21.992970,821.117126,379.676086
4,0.020000,17.107107,958.865051,306.314575,24.758442,252.268616,407.773041,25.746159,571.015564,392.677155,21.994497,821.117371,379.679504
5,0.025000,17.107924,958.866638,306.313049,24.757370,252.271530,407.773895,25.740095,571.013062,392.676514,21.992374,821.118469,379.674438
6,0.030000,17.107836,958.866821,306.312653,24.757187,252.269211,407.775238,25.744240,571.014648,392.681396,21.994810,821.117981,379.675293
7,0.035000,17.109207,958.868530,306.315125,24.761581,252.273621,407.775757,25.742130,571.013123,392.677979,21.990126,821.119385,379.679535
8,0.040000,17.104008,958.866821,306.313507,24.758917,252.269745,407.776245,25.742527,571.014221,392.679474,21.991461,821.118164,379.675385
9,0.045000,17.107016,958.866211,306.316010,24.762253,252.269440,407.771820,25.742111,571.013672,392.678467,21.993790,821.120300,379.678314
10,0.050000,17.103024,958.865723,306.309509,24.761564,252.270157,407.779877,25.741247,571.012268,392.674103,21.994085,821.115295,379.679230
11,0.055000,17.110460,958.864258,306.315125,24.759483,252.268280,407.778290,25.739700,571.013916,392.677094,21.995241,821.119141,379.677612
12,0.060000,17.110437,958.866699,306.314392,24.755192,252.271240,407.772339,25.745081,571.013794,392.678284,21.993374,821.118225,379.676697
13,0.065000,17.105951,958.863831,306.310883,24.763300,252.271652,407.778076,25.740112,571.016846,392.678223,21.995140,821.114563,379.676422
14,0.070000,17.105629,958.870972,306.310699,24.758541,252.271240,407.774567,25.741154,571.014648,392.680389,22.002012,821.121521,379.679626
15,0.075000,17.111195,958.866638,306.312592,24.757509,252.269501,407.772064,25.740036,571.014771,392.677795,21.993879,821.118774,379.678345
