Format Version,1.23,Take Name,Take 2023-06-29 05.14.22 PM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2023-06-29 05.14.23.084 PM,Capture Start Frame,5045838,Total Frames in Take,22457,Total Exported Frames,22457,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1954,Unlabeled 1954,Unlabeled 1954,Unlabeled 1955,Unlabeled 1955,Unlabeled 1955,Unlabeled 1956,Unlabeled 1956,Unlabeled 1956,Unlabeled 1957,Unlabeled 1957,Unlabeled 1957
,ID,"48572ADDA30E168A11EE","48572ADDA30E168A11EE","48572ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,17.052746,958.884399,306.304626,24.736126,252.279602,408.236298,25.729534,571.002930,392.615631,21.914865,821.107239,379.218781
1,0.005000,17.057787,958.884888,306.309082,24.737555,252.285278,408.234039,25.726963,571.003906,392.614410,21.911343,821.110168,379.217926
2,0.010000,17.052813,958.885498,306.305145,24.736252,252.279556,408.234497,25.725126,571.004822,392.612152,21.913099,821.107849,379.217896
3,0.015000,17.054493,958.882141,306.308624,24.734034,252.280945,408.231689,25.727791,571.003662,392.613037,21.907501,821.109558,379.219604
4,0.020000,17.056398,958.884155,306.303772,24.736523,252.279312,408.234314,25.730616,571.005493,392.614380,21.912914,821.106689,379.221069
5,0.025000,17.049885,958.886230,306.299622,24.732573,252.284409,408.231445,25.726744,571.005554,392.614594,21.909594,821.105042,379.224304
6,0.030000,17.059395,958.883362,306.308258,24.734711,252.280838,408.233978,25.728699,571.000061,392.614868,21.911499,821.109375,379.219727
7,0.035000,17.058907,958.883728,306.306946,24.736164,252.283066,408.233734,25.726683,571.002136,392.619232,21.912453,821.108765,379.217102
8,0.040000,17.053101,958.886230,306.306580,24.731041,252.281937,408.231995,25.722248,571.001953,392.614624,21.911076,821.109009,379.222656
9,0.045000,17.054062,958.883667,306.305878,24.732649,252.280472,408.229492,25.731443,571.001892,392.610779,21.913843,821.107727,379.219421
10,0.050000,17.054075,958.886047,306.307526,24.735876,252.281601,408.230713,25.728588,571.000916,392.616028,21.909859,821.108582,379.219208
11,0.055000,17.052288,958.883118,306.303436,24.733789,252.284500,408.231232,25.723789,571.005066,392.614166,21.912579,821.109863,379.225220
12,0.060000,17.053259,958.882690,306.302673,24.737585,252.282654,408.232574,25.729006,571.004517,392.616302,21.917150,821.109924,379.222534
13,0.065000,17.051954,958.884705,306.302765,24.740082,252.282379,408.231873,25.724445,571.005432,392.609772,21.910786,821.106995,379.224762
14,0.070000,17.050348,958.883911,306.306366,24.733646,252.281784,408.233459,25.727308,571.001404,392.616821,21.917469,821.107178,379.221649
15,0.075000,17.051952,958.883057,306.308105,24.733355,252.281967,408.232941,25.727407,570.999573,392.618805,21.911781,821.110657,379.222626
16,0.080000,17.051586,958.883911,306.304474,24.734503,252.280884,408.234741,25.731833,571.000427,392.615509,21.913994,821.106140,379.222504
17,0.085000,17.056536,958.884766,306.307068,24.736744,252.281876,408.239044,25.729519,571.006714,392.616730,21.915791,821.109558,379.220581
18,0.090000,17.052631,958.881653,306.303894,24.735682,252.281494,408.237152,25.727858,571.004456,392.612549,21.915110,821.108826,379.224213
19,0.095000,17.054838,958.885376,306.304260,24.735235,252.284500,408.229431,25.723335,571.004639,392.609192,21.913414,821.107300,379.226593
20,0.100000,17.057087,958.883118,306.303955,24.735579,252.283279,408.228149,25.727623,571.002869,392.616730,21.916468,821.110657,379.222961
21,0.105000,17.054272,958.887146,306.305176,24.736515,252.283096,408.235260,25.728998,571.000916,392.616180,21.915569,821.105103,379.225372
22,0.110000,17.051737,958.888123,306.312195,24.729982,252.282913,408.229034,25.727468,571.002014,392.610626,21.912201,821.106934,379.222504
23,0.115000,17.051895,958.885620,306.306580,24.737078,252.283539,408.231506,25.727760,571.003540,392.614258,21.914036,821.107483,379.218140
24,0.120000,17.055052,958.885010,306.309357,24.736816,252.285156,408.229767,25.727205,571.004517,392.614044,21.908587,821.109192,379.224365
25,0.125000,17.052584,958.885925,306.305176,24.729221,252.284134,408.228668,25.731510,571.001953,392.615631,21.918793,821.109131,379.222748
26,0.130000,17.050840,958.885986,306.301117,24.733030,252.284317,408.236267,25.727905,571.006897,392.615112,21.911137,821.107910,379.219177
27,0.135000,17.051500,958.882568,306.307098,24.733686,252.280945,408.236237,25.727968,571.001526,392.616394,21.916403,821.109497,379.222321
28,0.140000,17.045790,958.884521,306.302521,24.737375,252.283691,408.233490,25.723921,571.001221,392.615417,21.914829,821.107849,379.224121
29,0.145000,17.050936,958.882751,306.307739,24.735800,252.280716,408.228516,25.731672,571.002502,392.611267,21.908497,821.106201,379.223419
30,0.150000,17.050852,958.884827,306.304840,24.737133,252.287003,408.232330,25.727505,571.000610,392.613953,21.914936,821.110291,379.220612
31,0.155000,17.052818,958.882996,306.305573,24.732130,252.279099,408.233154,25.727499,571.004395,392.612000,21.911816,821.108215,379.222687
32,0.160000,17.054672,958.885132,306.305664,24.740330,252.284134,408.231293,25.727976,571.004272,392.616241,21.916059,821.107117,379.220062
33,0.165000,17.053104,958.888794,306.305023,24.737839,252.281784,408.234070,25.729221,571.006348,392.613708,21.917139,821.110962,379.219177
34,0.170000,17.054283,958.884583,306.303162,24.736202,252.280838,408.235138,25.727949,571.002502,392.612549,21.912636,821.109192,379.223602
35,0.175000,17.053986,958.886780,306.308502,24.735031,252.283691,408.228912,25.728125,571.002502,392.615540,21.912991,821.109863,379.224487
36,0.180000,17.054543,958.885315,306.305695,24.733988,252.283936,408.233002,25.729399,571.004211,392.617462,21.914639,821.107422,379.222931
37,0.185000,17.051575,958.878906,306.301575,24.731810,252.282318,408.237091,25.723040,571.005493,392.610657,21.913984,821.108521,379.219482
38,0.190000,17.052828,958.884033,306.302368,24.733574,252.282883,408.231995,25.730232,571.001770,392.612366,21.915504,821.110962,379.225464
39,0.195000,17.050068,958.885742,306.305267,24.734777,252.283401,408.234192,25.730122,571.006165,392.620300,21.912970,821.112854,379.222565
40,0.200000,17.054123,958.886475,306.308655,24.737305,252.279251,408.233154,25.727703,571.004456,392.613678,21.910479,821.107605,379.222198
41,0.205000,17.055265,958.885254,306.305084,24.738958,252.282654,408.237030,25.724054,571.003967,392.613983,21.910604,821.107727,379.223358
