Format Version,1.23,Take Name,Take 2023-06-29 04.47.08 PM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2023-06-29 04.47.08.944 PM,Capture Start Frame,4719012,Total Frames in Take,22059,Total Exported Frames,22059,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1906,Unlabeled 1906,Unlabeled 1906,Unlabeled 1907,Unlabeled 1907,Unlabeled 1907,Unlabeled 1908,Unlabeled 1908,Unlabeled 1908,Unlabeled 1909,Unlabeled 1909,Unlabeled 1909
,ID,"48572ADDA30E168A11EE","48572ADDA30E168A11EE","48572ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,17.106462,958.833069,306.300201,24.777586,252.273529,407.525635,25.758234,571.034180,392.715454,22.009939,821.139832,379.921539
1,0.005000,17.108395,958.833618,306.297852,24.776461,252.277435,407.528503,25.760094,571.032715,392.713989,22.014498,821.142578,379.928619
2,0.010000,17.106874,958.832520,306.296753,24.777069,252.279434,407.530243,25.759357,571.035095,392.713776,22.017178,821.139893,379.923462
3,0.015000,17.108839,958.833069,306.297058,24.778061,252.278000,407.526367,25.758095,571.036011,392.716217,22.013407,821.139587,379.927856
4,0.020000,17.109438,958.831238,306.296997,24.778160,252.275940,407.529755,25.755713,571.035522,392.707672,22.016584,821.140503,379.922699
5,0.025000,17.110670,958.831238,306.297760,24.777853,252.275314,407.526733,25.755930,571.031982,392.709900,22.014353,821.139465,379.920563
6,0.030000,17.106407,958.831238,306.292297,24.781214,252.274399,407.528137,25.754791,571.033936,392.711578,22.016207,821.141357,379.927704
7,0.035000,17.110279,958.832825,306.296997,24.783495,252.276657,407.526611,25.756102,571.038513,392.710541,22.016233,821.138184,379.924225
8,0.040000,17.107124,958.830505,306.295654,24.781004,252.276962,407.529846,25.758757,571.034119,392.713165,22.014517,821.140015,379.926483
9,0.045000,17.108683,958.832703,306.293304,24.775703,252.278000,407.531891,25.756952,571.033752,392.711090,22.012337,821.140503,379.924896
10,0.050000,17.109671,958.835266,306.296265,24.780844,252.276596,407.520721,25.757856,571.035950,392.715546,22.019072,821.141174,379.927856
11,0.055000,17.108889,958.832886,306.301361,24.778337,252.275223,407.532257,25.759762,571.036194,392.709778,22.012512,821.142029,379.920074
12,0.060000,17.103786,958.835022,306.299347,24.780190,252.276001,407.530396,25.756161,571.033936,392.713379,22.015612,821.140564,379.924225
13,0.065000,17.108696,958.832092,306.296356,24.780323,252.275848,407.527405,25.757669,571.035217,392.714600,22.011185,821.140137,379.918793
14,0.070000,17.107967,958.830994,306.297852,24.783148,252.276031,407.526611,25.756674,571.036133,392.714233,22.013371,821.140808,379.923187
15,0.075000,17.107967,958.828491,306.292725,24.780535,252.275711,407.533417,25.757570,571.035645,392.714233,22.012352,821.139038,379.922882
16,0.080000,,,,,,,,,,,,
17,0.085000,17.108408,958.832458,306.296661,24.782984,252.276215,407.528961,25.756153,571.034119,392.714508,22.013750,821.141052,379.922516
18,0.090000,17.108923,958.828613,306.297546,24.781931,252.274338,407.531128,25.754541,571.036072,392.713409,22.013939,821.141663,379.925964
19,0.095000,17.104475,958.832886,306.295410,24.777920,252.280258,407.524567,25.759151,571.028992,392.712036,22.012945,821.141479,379.922211
20,0.100000,17.110228,958.831421,306.299133,24.775267,252.277908,407.530579,25.755917,571.031189,392.707458,22.014219,821.141418,379.924042
21,0.105000,17.108778,958.828247,306.297211,24.784533,252.277618,407.527100,25.758545,571.035400,392.713074,22.016676,821.140076,379.926453
22,0.110000,17.107157,958.832764,306.298279,24.777897,252.276367,407.526978,25.755533,571.035217,392.712158,22.012829,821.145325,379.923981
23,0.115000,17.109936,958.832825,306.299194,24.779472,252.276718,407.529846,25.760071,571.032532,392.707153,22.018366,821.140686,379.927704
24,0.120000,17.104824,958.832947,306.297302,24.782433,252.278870,407.530914,25.755363,571.033508,392.713959,22.012947,821.138184,379.920441
25,0.125000,17.113567,958.829468,306.292572,24.779753,252.277496,407.530090,25.759605,571.035034,392.709778,22.011419,821.139099,379.931152
26,0.130000,17.106447,958.830200,306.297607,24.779629,252.276596,407.533325,25.759563,571.036621,392.711395,22.016159,821.140503,379.924408
27,0.135000,17.103973,958.830933,306.298462,24.781878,252.274963,407.531036,25.754490,571.036743,392.713348,22.014812,821.138977,379.922180
28,0.140000,17.106096,958.831055,306.298523,24.781805,252.275223,407.528168,25.758747,571.033020,392.712585,22.014055,821.139038,379.922089
29,0.145000,17.110453,958.833740,306.297333,24.776331,252.280380,407.531006,25.757849,571.033630,392.714081,22.014925,821.142029,379.923615
30,0.150000,17.107906,958.833557,306.296387,24.780195,252.280258,407.525665,25.758745,571.037231,392.710724,22.010902,821.140259,379.924438
31,0.155000,17.104343,958.829041,306.297211,24.779657,252.276505,407.527283,25.755690,571.038879,392.709900,22.013935,821.142761,379.928253
32,0.160000,17.107712,958.829956,306.301056,24.775959,252.278183,407.525818,25.754581,571.036499,392.711670,22.016596,821.139465,379.924194
33,0.165000,17.104734,958.833679,306.298523,24.781483,252.276718,407.528076,25.758270,571.036194,392.708374,22.012630,821.142944,379.923889
34,0.170000,17.103888,958.834595,306.299591,24.779560,252.275711,407.523376,25.757912,571.035278,392.714142,22.015295,821.140564,379.920959
35,0.175000,17.107353,958.830811,306.296997,24.781279,252.276428,407.528900,25.758541,571.032166,392.713379,22.015842,821.142395,379.924011
36,0.180000,17.106764,958.830200,306.295990,24.779631,252.279663,407.526367,25.757298,571.033630,392.708679,22.017605,821.142029,379.927277
37,0.185000,17.107010,958.833679,306.292847,24.773512,252.273712,407.532623,25.759762,571.034241,392.707123,22.014574,821.144714,379.922852
38,0.190000,17.108948,958.831299,306.296509,24.779964,252.277283,407.526672,25.755404,571.035095,392.713043,22.013773,821.144165,379.923706
39,0.195000,17.102692,958.830261,306.294464,24.781099,252.272873,407.531586,25.753691,571.030762,392.712769,22.014181,821.140869,379.924133
40,0.200000,17.104204,958.830933,306.294220,24.778681,252.274063,407.528687,25.755846,571.034668,392.712524,22.011410,821.142334,379.926636
41,0.205000,17.108231,958.830444,306.297729,24.777992,252.279373,407.527039,25.756252,571.031799,392.710266,22.016140,821.140015,379.922577
42,0.210000,17.108713,958.830811,306.294464,24.779293,252.274841,407.528046,25.758688,571.037598,392.712982,22.012184,821.140686,379.925720
43,0.215000,17.107895,958.832764,306.299774,24.780132,252.280212,407.524750,25.760349,571.033752,392.714111,22.011648,821.141663,379.922119
44,0.220000,17.106871,958.830750,306.299408,24.777134,252.276627,407.529938,25.756582,571.033142,392.713013,22.015135,821.141113,379.922913
45,0.225000,17.110321,958.833862,306.297241,24.778091,252.277435,407.524597,25.753763,571.035828,392.714020,22.015408,821.138489,379.921783
46,0.230000,17.110535,958.833069,306.299713,24.778725,252.278214,407.526245,25.759575,571.032837,392.712341,22.015636,821.139954,379.924194
47,0.235000,17.106598,958.833191,306.303009,24.777819,252.277878,407.528442,25.758528,571.034119,392.713837,22.018154,821.138489,379.923035
48,0.240000,17.108641,958.831848,306.297821,24.779535,252.276184,407.528809,25.754887,571.029663,392.712036,22.014994,821.141663,379.923248
49,0.245000,17.107862,958.832092,306.299011,24.778856,252.275970,407.528076,25.754045,571.034180,392.711151,22.009472,821.140076,379.925323
50,0.250000,17.106342,958.829529,306.298798,24.779850,252.277756,407.532806,25.754990,571.034424,392.709686,22.013960,821.138611,379.924286
51,0.255000,17.107389,958.831177,306.296600,24.774418,252.279129,407.526703,25.756599,571.033691,392.711090,22.015617,821.142822,379.925110
52,0.260000,17.107777,958.834167,306.296021,24.778490,252.276962,407.531036,25.755318,571.034363,392.712158,22.015381,821.140259,379.923553
53,0.265000,17.110014,958.833435,306.296326,24.775789,252.276001,407.527008,25.757074,571.033142,392.713684,22.016861,821.143372,379.924988
