Format Version,1.23,Take Name,Take 2023-06-29 04.35.41 PM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2023-06-29 04.35.41.803 PM,Capture Start Frame,4581584,Total Frames in Take,22899,Total Exported Frames,22899,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1882,Unlabeled 1882,Unlabeled 1882,Unlabeled 1883,Unlabeled 1883,Unlabeled 1883,Unlabeled 1884,Unlabeled 1884,Unlabeled 1884,Unlabeled 1885,Unlabeled 1885,Unlabeled 1885
,ID,"48572ADDA30E168A11EE","48572ADDA30E168A11EE","48572ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,17.120504,958.820557,306.287842,24.686337,252.346008,408.969849,25.716915,571.021423,392.466217,21.976849,821.070068,378.384705
1,0.005000,17.119402,958.820557,306.286743,24.684959,252.344849,408.970184,25.717512,571.023621,392.465881,21.978899,821.070679,378.384613
2,0.010000,17.117460,958.817871,306.285614,24.686138,252.345947,408.974640,25.715435,571.021179,392.462189,21.979286,821.072693,378.384521
3,0.015000,17.121267,958.819092,306.288116,24.684784,252.343536,408.971558,25.715296,571.021790,392.465271,21.979416,821.068665,378.386780
4,0.020000,17.120296,958.818848,306.285400,24.682192,252.346161,408.974152,25.716988,571.020752,392.465790,21.977131,821.070435,378.384216
5,0.025000,17.120296,958.820557,306.290253,24.686907,252.349503,408.974670,25.718105,571.021667,392.466064,21.979506,821.068115,378.379517
6,0.030000,17.124546,958.819519,306.288544,24.683565,252.345291,408.974792,25.715708,571.020752,392.460968,21.979393,821.071533,378.385132
7,0.035000,17.118664,958.820923,306.289764,24.684332,252.345001,408.972565,25.714550,571.022522,392.460510,21.973923,821.067505,378.385834
8,0.040000,17.119528,958.823364,306.294159,24.687338,252.344009,408.973938,25.719641,571.020264,392.466125,21.978411,821.066284,378.381927
9,0.045000,17.119545,958.818787,306.284851,24.686007,252.345108,408.972229,25.715881,571.024292,392.464783,21.978016,821.068237,378.388275
10,0.050000,17.120224,958.817810,306.286285,24.689426,252.343597,408.971985,25.718321,571.017700,392.466736,21.976017,821.070801,378.386566
11,0.055000,17.122164,958.820496,306.289307,24.684759,252.341446,408.971588,25.717066,571.022888,392.461670,21.978033,821.070007,378.378723
12,0.060000,17.121502,958.819763,306.290710,24.685877,252.342438,408.973663,25.717573,571.016479,392.461517,21.975636,821.068237,378.383087
13,0.065000,17.119555,958.820435,306.284821,24.685986,252.342636,408.975983,25.716280,571.021301,392.462433,21.976439,821.067505,378.386200
14,0.070000,17.119637,958.817993,306.286591,24.685234,252.342606,408.971252,25.716829,571.022766,392.466431,21.984682,821.067444,378.384247
15,0.075000,17.116924,958.819458,306.289948,24.687616,252.341293,408.974335,25.714621,571.023682,392.460022,21.982084,821.069580,378.384125
16,0.080000,,,,,,,,,,,,
17,0.085000,17.119944,958.824646,306.288635,24.685200,252.344879,408.970459,25.714588,571.020813,392.463470,21.978212,821.070374,378.380768
18,0.090000,17.115711,958.820435,306.283752,24.687998,252.342377,408.972778,25.714680,571.025208,392.464905,21.976309,821.070740,378.380524
19,0.095000,17.117283,958.819397,306.285217,24.686058,252.343353,408.971436,25.714964,571.022034,392.464600,21.976469,821.069031,378.381561
20,0.100000,17.122221,958.820496,306.288086,24.684702,252.344879,408.968323,25.716423,571.023682,392.467560,21.975788,821.072632,378.386017
21,0.105000,17.123936,958.818054,306.292023,24.687052,252.347473,408.973480,25.716770,571.019714,392.461426,21.981371,821.066956,378.377716
22,0.110000,17.116575,958.820068,306.287994,24.688181,252.344406,408.971649,25.714260,571.020142,392.461884,21.979801,821.069641,378.385681
23,0.115000,17.121323,958.820801,306.290314,24.685896,252.345627,408.973755,25.718998,571.021912,392.466614,21.978699,821.067688,378.382629
24,0.120000,17.121340,958.822205,306.288361,24.688833,252.343414,408.974823,25.718571,571.020813,392.463470,21.975672,821.070435,378.377075
25,0.125000,17.118933,958.820679,306.289520,24.686953,252.339279,408.977448,25.717941,571.026611,392.461548,21.978910,821.069824,378.385590
26,0.130000,17.120640,958.820251,306.287506,24.684111,252.344070,408.973328,25.719028,571.023743,392.461792,21.981022,821.069092,378.382141
27,0.135000,17.120806,958.820007,306.288635,24.688656,252.343857,408.973389,25.715797,571.020264,392.464935,21.977505,821.069824,378.380066
28,0.140000,17.121532,958.822632,306.291656,24.686869,252.344635,408.972961,25.715788,571.022095,392.465393,21.980877,821.070007,378.383484
29,0.145000,17.121147,958.818604,306.290619,24.686192,252.345978,408.975586,25.715384,571.023682,392.462646,21.978706,821.068298,378.384277
30,0.150000,17.117538,958.817566,306.284576,24.685522,252.343445,408.974762,25.718624,571.026550,392.460693,21.981516,821.066528,378.384277
31,0.155000,17.115061,958.818359,306.285675,24.689295,252.340881,408.974243,25.719618,571.022400,392.462677,21.981178,821.068542,378.381317
32,0.160000,17.118301,958.820862,306.288269,24.685537,252.347107,408.969543,25.716890,571.023743,392.463531,21.975523,821.071716,378.380432
33,0.165000,17.119081,958.820679,306.286194,24.681852,252.345139,408.970520,25.719522,571.023865,392.458679,21.979570,821.067505,378.382202
34,0.170000,17.119368,958.822876,306.291473,24.685724,252.345261,408.970886,25.713861,571.023682,392.463959,21.980677,821.066833,378.387451
35,0.175000,17.117540,958.819641,306.285217,24.683912,252.347504,408.972198,25.719393,571.023560,392.468079,21.973494,821.071167,378.382019
36,0.180000,17.117249,958.817749,306.286560,24.686253,252.345200,408.971588,25.715927,571.022034,392.465088,21.983431,821.068237,378.386780
37,0.185000,17.117514,958.821594,306.287781,24.688446,252.341690,408.976654,25.717564,571.021667,392.461212,21.979963,821.067017,378.380402
38,0.190000,17.120495,958.823425,306.285980,24.688337,252.342285,408.970062,25.715780,571.022034,392.461212,21.977518,821.069580,378.379852
39,0.195000,17.120346,958.820312,306.287811,24.686947,252.342010,408.973785,25.713102,571.022705,392.464264,21.978205,821.069458,378.383636
40,0.200000,17.122370,958.820312,306.285919,24.685173,252.342941,408.979523,25.717487,571.022400,392.463745,21.977873,821.068665,378.384155
41,0.205000,17.120003,958.819946,306.286072,24.685860,252.345139,408.975433,25.718082,571.020813,392.456207,21.981352,821.068481,378.386597
42,0.210000,17.123075,958.820435,306.288513,24.690104,252.343201,408.972168,25.716972,571.021179,392.461609,21.979239,821.070557,378.382080
43,0.215000,17.122503,958.818298,306.289825,24.686844,252.344482,408.971588,25.717707,571.020874,392.461029,21.981716,821.072388,378.383026
44,0.220000,17.119541,958.819458,306.286987,24.686979,252.345886,408.971558,25.719913,571.022278,392.465637,21.979071,821.068848,378.380310
