Format Version,1.23,Take Name,Take 2023-06-29 04.10.23 PM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2023-06-29 04.10.24.163 PM,Capture Start Frame,4278058,Total Frames in Take,24228,Total Exported Frames,24228,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1834,Unlabeled 1834,Unlabeled 1834,Unlabeled 1835,Unlabeled 1835,Unlabeled 1835,Unlabeled 1836,Unlabeled 1836,Unlabeled 1836,Unlabeled 1837,Unlabeled 1837,Unlabeled 1837
,ID,"48572ADDA30E168A11EE","48572ADDA30E168A11EE","48572ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,17.095932,957.567749,306.303009,25.431688,251.970078,391.099701,25.628052,571.092102,394.725159,21.078529,821.404175,396.300415
1,0.005000,17.096138,957.567566,306.300385,25.436455,251.971420,391.099091,25.626682,571.092407,394.726959,21.082155,821.401917,396.298279
2,0.010000,17.092222,957.567383,306.301666,25.431366,251.968628,391.099396,25.625631,571.094360,394.730530,21.080883,821.401917,396.299866
3,0.015000,17.093729,957.567017,306.302002,25.430841,251.971603,391.098450,25.626551,571.093811,394.730469,21.079773,821.403381,396.301819
4,0.020000,17.091610,957.569397,306.301361,25.431168,251.973038,391.099823,25.629469,571.093079,394.733429,21.083475,821.408142,396.304077
5,0.025000,17.093300,957.568481,306.299194,25.431959,251.967514,391.095764,25.629879,571.094788,394.725250,21.083710,821.404053,396.299377
